indice_tiempo;pais_origen;turistas;precio_promedio_usd;precio_minimo_usd;precio_maximo_usd;dias;variacion_usd_mensual;variacion_porcentual_usd;usd_alto;usd_alta_variabilidad;interes_google_promedio;interes_alto;año;mes;es_enero;es_febrero;es_marzo;es_abril;es_mayo;es_junio;es_julio;es_agosto;es_septiembre;es_octubre;es_noviembre;es_diciembre;mes_vendimia;vacaciones_invierno;temporada_alta
2014-01;Brasil;654;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Chile;1046;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Ee.Uu, Canadá Y México;1211;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Europa Y Resto Del Mundo;719;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Resto De América;763;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Resto Del Mundo;2135;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-01;Uruguay;14122;7.1;6.0;8.0;31;2.0;33.33;0;0;68.0;0;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2014-02;Bolivia;4506;8.0;8.0;8.0;28;0.0;0.0;0;0;73.0;0;2014;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
2014-02;Brasil;33075;8.0;8.0;8.0;28;0.0;0.0;0;0;73.0;0;2014;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
2014-02;Chile;18110;8.0;8.0;8.0;28;0.0;0.0;0;0;73.0;0;2014;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
2014-02;Ee.Uu Y Canadá;22854;8.0;8.0;8.0;28;0.0;0.0;0;0;73.0;0;2014;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
